kick ass : f_popularity=42.2485207101 , v_popularity=59.7515690171
with black bean sauce : f_popularity=285.303602058 , v_popularity=416.601728273
desert inn : f_popularity=20.487804878 , v_popularity=29.0
bone marrow : f_popularity=26.3414634146 , v_popularity=109.036691072
san gabriel : f_popularity=135.280276817 , v_popularity=210.772389084
olive tapenade : f_popularity=4.8 , v_popularity=7.21110255093
super bowl : f_popularity=13.4814814815 , v_popularity=19.1049731745
dress code : f_popularity=9.47368421053 , v_popularity=13.4536240471
condensed milk : f_popularity=151.751824818 , v_popularity=396.428114543
double check : f_popularity=94.0316622691 , v_popularity=134.503717421
tiramisu : f_popularity=43.2359550562 , v_popularity=63.8200595424
fried rice : f_popularity=4308.47679193 , v_popularity=15350.8425909
chinese noodles : f_popularity=68.896797153 , v_popularity=100.300797604
the beef rice : f_popularity=28.8235294118 , v_popularity=42.7229446551
rush hour : f_popularity=59.2531120332 , v_popularity=85.9083814305
south indian : f_popularity=4.0 , v_popularity=5.65685424949
calzone : f_popularity=2.66666666667 , v_popularity=4.472135955
cookie : f_popularity=740.130174434 , v_popularity=1505.62287775
dumplings the : f_popularity=264.193661972 , v_popularity=415.405825669
pine nuts : f_popularity=25.8699186992 , v_popularity=46.8107893546
vanilla ice cream : f_popularity=45.5913978495 , v_popularity=66.4003012041
bowl of salsa : f_popularity=4.36363636364 , v_popularity=8.54400374532
soy egg : f_popularity=1.55555555556 , v_popularity=3.64005494464
golden nugget : f_popularity=17.6842105263 , v_popularity=27.7848879789
greek food : f_popularity=1.55555555556 , v_popularity=3.64005494464
san gabriel valley : f_popularity=94.0492610837 , v_popularity=148.717853669
bolognese sauce : f_popularity=2.66666666667 , v_popularity=4.472135955
assembly line : f_popularity=13.2075471698 , v_popularity=18.7683243791
frida kahlo : f_popularity=10.6206896552 , v_popularity=23.0867927612
garlic sauce : f_popularity=798.071699213 , v_popularity=1254.5310877
valet parking : f_popularity=11.2444444444 , v_popularity=15.9138304628
fried dough : f_popularity=85.9255014327 , v_popularity=124.323167592
filet mignon : f_popularity=103.543672014 , v_popularity=222.791943301
cake chocolate : f_popularity=7.46666666667 , v_popularity=10.6301458127
boba milk : f_popularity=49.359223301 , v_popularity=74.3303437366
junk food : f_popularity=13.2075471698 , v_popularity=18.7683243791
bottled water : f_popularity=50.39408867 , v_popularity=72.0225659082
zucchini : f_popularity=218.909090909 , v_popularity=317.720395946
hot dogs : f_popularity=37.5974842767 , v_popularity=57.7169819031
thai chinese : f_popularity=138.175895765 , v_popularity=227.659833963
salmon : f_popularity=450.534875047 , v_popularity=1092.24459257
coca cola : f_popularity=42.7485380117 , v_popularity=60.4586635645
deep fried : f_popularity=1209.85489543 , v_popularity=2007.40609992
bell pepper : f_popularity=221.995614035 , v_popularity=326.658843444
green tea : f_popularity=549.366849961 , v_popularity=959.783829828
carne : f_popularity=31.4744525547 , v_popularity=50.361195379
finger food : f_popularity=10.9090909091 , v_popularity=15.6204993518
red wine : f_popularity=50.9951690821 , v_popularity=73.717365661
chocolate chip : f_popularity=44.8351648352 , v_popularity=64.8151216924
chocolate mousse : f_popularity=63.3151750973 , v_popularity=91.5218553134
molecular gastronomy : f_popularity=3.42857142857 , v_popularity=5.0
sour cream : f_popularity=32.4307692308 , v_popularity=46.0108682813
food court : f_popularity=291.67816092 , v_popularity=530.479028803
corn tortilla : f_popularity=15.7534246575 , v_popularity=27.5181758116
service oriented : f_popularity=22.2222222222 , v_popularity=32.0156211872
guotie : f_popularity=4.73684210526 , v_popularity=6.72681202354
sweet potato : f_popularity=121.710691824 , v_popularity=249.839948767
main course : f_popularity=433.558356164 , v_popularity=661.085660108
cool spot : f_popularity=6.66666666667 , v_popularity=9.60468635615
caprese : f_popularity=2.85714285714 , v_popularity=5.38516480713
soft drink : f_popularity=73.2423208191 , v_popularity=103.596573302
waiting staff : f_popularity=30.2950819672 , v_popularity=43.2781700168
lactose intolerant : f_popularity=9.6 , v_popularity=14.4222051019
bachelorette party : f_popularity=55.0609756098 , v_popularity=133.663757242
hash browns : f_popularity=46.984375 , v_popularity=101.833196945
mint tea : f_popularity=3.42857142857 , v_popularity=5.0
duck confit : f_popularity=12.6274509804 , v_popularity=18.117670932
frutti : f_popularity=4.11764705882 , v_popularity=6.10327780787
great white : f_popularity=7.46666666667 , v_popularity=10.6301458127
indian cuisine : f_popularity=13.7192982456 , v_popularity=20.5243757518
burger fries : f_popularity=14.0689655172 , v_popularity=20.8086520467
cream cheese : f_popularity=869.753507565 , v_popularity=1312.45161816
ossobuco : f_popularity=4.86956521739 , v_popularity=8.73212459829
bruschetta : f_popularity=3.73333333333 , v_popularity=5.31507290637
sea urchin : f_popularity=3.42857142857 , v_popularity=5.0
fine print : f_popularity=17.4857142857 , v_popularity=24.7588368063
monte carlo : f_popularity=48.7746835443 , v_popularity=171.386259659
creme brule : f_popularity=7.0 , v_popularity=9.89949493661
family owned business : f_popularity=39.748427673 , v_popularity=56.2161008965
chips and salsa : f_popularity=64.4522144522 , v_popularity=179.402480473
soft drinks : f_popularity=122.478701826 , v_popularity=174.846361129
brown butter : f_popularity=1.6 , v_popularity=4.12310562562
shiro : f_popularity=4.2 , v_popularity=7.61577310586
mexico city : f_popularity=1.63636363636 , v_popularity=4.60977222865
clay pots : f_popularity=40.7484662577 , v_popularity=57.6302871761
cucumber : f_popularity=625.932721713 , v_popularity=1115.46055511
grilled lamb : f_popularity=11.2444444444 , v_popularity=15.9138304628
strip mall : f_popularity=1055.31314807 , v_popularity=1807.91620381
strawberry shortcake : f_popularity=3.73333333333 , v_popularity=5.31507290637
rice paper : f_popularity=97.7199017199 , v_popularity=146.718267438
meat : f_popularity=3456.19213686 , v_popularity=10285.7464484
designated driver : f_popularity=2.72727272727 , v_popularity=3.90512483795
deep fried shrimp : f_popularity=73.1467576792 , v_popularity=103.664121083
filet : f_popularity=328.021108179 , v_popularity=570.897538968
mole sauce : f_popularity=11.7727272727 , v_popularity=37.6563407675
sweet corn : f_popularity=35.6756756757 , v_popularity=53.2541078228
pork loin : f_popularity=19.2151898734 , v_popularity=28.3063597094
fish ball : f_popularity=77.0 , v_popularity=117.345643294
fried chicken : f_popularity=963.760407031 , v_popularity=1609.53223018
general tso's chicken : f_popularity=788.078932095 , v_popularity=1269.20014182
fine dining restaurant : f_popularity=36.2344827586 , v_popularity=51.2762128087
lamb rice : f_popularity=5.04 , v_popularity=9.65660395791
soda fountain : f_popularity=83.2574850299 , v_popularity=118.258192105
fast food chain : f_popularity=25.1287128713 , v_popularity=35.7945526582
beef chow fun : f_popularity=536.70694864 , v_popularity=1020.96816797
halo halo : f_popularity=6.2962962963 , v_popularity=9.86154146166
skirt steak : f_popularity=14.7368421053 , v_popularity=29.7321374946
banana leaf : f_popularity=40.9090909091 , v_popularity=58.5768725693
caesar salad : f_popularity=16.4383561644 , v_popularity=27.0601182555
olive garden : f_popularity=51.0576923077 , v_popularity=74.2024258364
date night : f_popularity=226.388349515 , v_popularity=331.513574383
san francisco : f_popularity=614.494968319 , v_popularity=987.561263922
falafel : f_popularity=8.74285714286 , v_popularity=12.3794184031
golden corral : f_popularity=5.14285714286 , v_popularity=7.5
lardo : f_popularity=4.44444444444 , v_popularity=6.40312423743
lamb shank : f_popularity=4.44444444444 , v_popularity=6.40312423743
grand marnier : f_popularity=5.21739130435 , v_popularity=8.5
cave creek : f_popularity=23.625 , v_popularity=34.205262753
yui shan chicken : f_popularity=8.4 , v_popularity=12.6194294641
thai cuisine : f_popularity=56.5217391304 , v_popularity=82.0060973343
mexican american : f_popularity=12.6923076923 , v_popularity=18.6010752377
wine bottle : f_popularity=7.2 , v_popularity=10.8166538264
black rice : f_popularity=9.23076923077 , v_popularity=14.1509716981
taco bell : f_popularity=157.665101721 , v_popularity=227.390083337
pastor : f_popularity=20.2303664921 , v_popularity=84.7835479324
ginger beef : f_popularity=40.3067484663 , v_popularity=57.9417811255
hot chocolate : f_popularity=9.33333333333 , v_popularity=15.6524758425
cheddar cheese : f_popularity=30.8759124088 , v_popularity=50.7666228934
garden salad : f_popularity=16.0615384615 , v_popularity=23.1138486627
baba : f_popularity=10.7441860465 , v_popularity=15.2069063257
kitchen sink : f_popularity=9.9 , v_popularity=14.2126704036
arnold palmer : f_popularity=15.2459016393 , v_popularity=21.5696546101
lemon : f_popularity=1225.99539089 , v_popularity=2120.68391091
tomato sauce : f_popularity=67.8260869565 , v_popularity=98.4073168011
melted cheese : f_popularity=33.0975609756 , v_popularity=63.324560796
cuttlefish : f_popularity=25.4117647059 , v_popularity=36.1247837364
wonton : f_popularity=2106.82411809 , v_popularity=4828.51491144
sauce garlic : f_popularity=27.5675675676 , v_popularity=39.3732142452
christmas eve : f_popularity=83.1216617211 , v_popularity=119.94269465
soft serve : f_popularity=109.867494824 , v_popularity=178.29540095
soy sauce : f_popularity=1552.74113621 , v_popularity=2769.36260717
sesame seeds : f_popularity=204.328867235 , v_popularity=290.917943757
prime rib : f_popularity=90.621242485 , v_popularity=199.098593667
red snapper : f_popularity=42.5806451613 , v_popularity=68.4762732631
green pepper : f_popularity=139.65 , v_popularity=198.237231619
food truck : f_popularity=48.2425876011 , v_popularity=159.565817141
wine cooler : f_popularity=4.44444444444 , v_popularity=6.40312423743
passion fruit : f_popularity=72.4390243902 , v_popularity=122.539789456
classic rock : f_popularity=12.5098039216 , v_popularity=18.2002747232
asian cuisine : f_popularity=590.53929867 , v_popularity=897.928866893
pizza hut : f_popularity=49.3432835821 , v_popularity=71.7025104163
orange county : f_popularity=99.6555023923 , v_popularity=151.172087371
marinara sauce : f_popularity=1.6 , v_popularity=4.12310562562
standard chinese : f_popularity=376.604467806 , v_popularity=540.855803334
chick peas : f_popularity=3.73333333333 , v_popularity=5.31507290637
asparagus : f_popularity=269.916666667 , v_popularity=445.028089001
rock candy : f_popularity=4.11764705882 , v_popularity=6.10327780787
of garlic : f_popularity=231.031082529 , v_popularity=331.430611139
snails : f_popularity=22.7252747253 , v_popularity=32.1908372056
frog legs : f_popularity=100.677966102 , v_popularity=209.189507385
mac and cheese : f_popularity=10.9565217391 , v_popularity=16.6433169771
dessert chocolate : f_popularity=11.6170212766 , v_popularity=16.7107749671
meat tender : f_popularity=18.9473684211 , v_popularity=26.9072480941
spaghetti : f_popularity=193.516981132 , v_popularity=284.751207197
sauerkraut : f_popularity=2.54545454545 , v_popularity=4.03112887415
chickpeas : f_popularity=3.42857142857 , v_popularity=5.0
carbonara : f_popularity=3.75 , v_popularity=5.83095189485
white sauce : f_popularity=122.134969325 , v_popularity=172.968927845
shaved ice : f_popularity=104.767839196 , v_popularity=442.022906646
potato chip : f_popularity=10.9565217391 , v_popularity=16.6433169771
chili sauce : f_popularity=615.156432749 , v_popularity=1014.83496195
cotton candy : f_popularity=7.79104477612 , v_popularity=29.3470611817
short rib : f_popularity=99.0087463557 , v_popularity=289.290511424
breadsticks : f_popularity=6.0 , v_popularity=8.48528137424
polenta : f_popularity=3.42857142857 , v_popularity=5.0
growing pains : f_popularity=9.08108108108 , v_popularity=13.2003787824
hot pot : f_popularity=491.919947934 , v_popularity=1266.88486059
egg white : f_popularity=68.7725631769 , v_popularity=98.271308122
cream pie : f_popularity=13.3818181818 , v_popularity=19.7040604952
pappardelle : f_popularity=2.54545454545 , v_popularity=4.03112887415
celebrity chef : f_popularity=22.2040816327 , v_popularity=36.235341864
fish sauce : f_popularity=223.110667996 , v_popularity=373.647226672
lamb : f_popularity=546.360824742 , v_popularity=1447.26293395
rock hard : f_popularity=54.7090909091 , v_popularity=77.9871784334
biryani : f_popularity=2.54545454545 , v_popularity=4.03112887415
mongolian beef : f_popularity=2112.05776173 , v_popularity=4357.84350339
service stars : f_popularity=119.325 , v_popularity=170.182255244
chicken wings : f_popularity=788.054837859 , v_popularity=1449.88490923
black pepper : f_popularity=473.326941515 , v_popularity=770.823585524
swap meet : f_popularity=8.86956521739 , v_popularity=18.0277563773
the gai lan : f_popularity=32.3076923077 , v_popularity=46.0977222865
corn dog : f_popularity=9.23076923077 , v_popularity=14.1509716981
rice salad : f_popularity=15.0491803279 , v_popularity=21.7082933461
mgm grand : f_popularity=27.2907801418 , v_popularity=55.192843739
tex mex : f_popularity=6.46153846154 , v_popularity=9.21954445729
eggplants : f_popularity=51.5458937198 , v_popularity=73.3297347602
sushi samba : f_popularity=14.834193073 , v_popularity=671.041913743
egg foo young : f_popularity=691.666779776 , v_popularity=1073.32718684
great wall : f_popularity=234.347146208 , v_popularity=509.013997843
bobo brazil : f_popularity=7.79874213836 , v_popularity=155.051604313
dal : f_popularity=9.18918918919 , v_popularity=13.1244047484
swordfish : f_popularity=3.23076923077 , v_popularity=4.60977222865
powdered sugar : f_popularity=40.6451612903 , v_popularity=69.7782200977
low carb : f_popularity=50.0 , v_popularity=70.7106781187
risotto : f_popularity=18.7894736842 , v_popularity=27.0185121722
california pizza kitchen : f_popularity=7.5 , v_popularity=11.6619037897
humble pie : f_popularity=4.44444444444 , v_popularity=6.40312423743
guanciale : f_popularity=4.0 , v_popularity=5.65685424949
diet coke : f_popularity=132.075471698 , v_popularity=187.683243791
white chocolate : f_popularity=35.0933333333 , v_popularity=54.7083174664
potato salad : f_popularity=6.9696969697 , v_popularity=12.539936204
kool aid : f_popularity=15.2131147541 , v_popularity=21.5928228817
mapo tofu : f_popularity=236.749750748 , v_popularity=364.379266699
salami : f_popularity=7.46666666667 , v_popularity=10.6301458127
steak : f_popularity=1011.45216741 , v_popularity=2110.52836986
sticky rice : f_popularity=359.883325231 , v_popularity=829.260061742
potato chips : f_popularity=13.1320754717 , v_popularity=18.8215302247
chicken : f_popularity=5718.96805839 , v_popularity=39238.4621768
margaritas : f_popularity=57.4123989218 , v_popularity=154.143601878
french bread : f_popularity=6.49484536082 , v_popularity=45.1359058843
carnitas tacos : f_popularity=5.82692307692 , v_popularity=101.044544633
dungeness crab : f_popularity=53.7327935223 , v_popularity=92.8237577348
bone in ribeye : f_popularity=4.0 , v_popularity=5.65685424949
game hen : f_popularity=8.47058823529 , v_popularity=12.0415945788
sugar cane : f_popularity=52.4976958525 , v_popularity=77.9503046819
star anise : f_popularity=75.4276923077 , v_popularity=118.950620007
pork belly : f_popularity=347.044162129 , v_popularity=1469.26682396
food poisoning : f_popularity=367.077747989 , v_popularity=531.67283173
puffed rice : f_popularity=8.55555555556 , v_popularity=13.0384048104
tsao's chicken : f_popularity=107.407407407 , v_popularity=153.153517753
caramelized onions : f_popularity=3.73333333333 , v_popularity=5.31507290637
coconut milk : f_popularity=195.454965358 , v_popularity=320.713267577
sunday brunch : f_popularity=58.3086053412 , v_popularity=136.261696746
al pastor : f_popularity=19.7939393939 , v_popularity=71.9253084804
middle east : f_popularity=3.23076923077 , v_popularity=4.60977222865
hot dog : f_popularity=77.1588785047 , v_popularity=115.655739157
shark fin soup : f_popularity=81.0348525469 , v_popularity=140.247103357
los angeles : f_popularity=302.243076923 , v_popularity=475.43874474
fountain hills : f_popularity=47.3122529644 , v_popularity=100.086212837
samosa : f_popularity=11.0769230769 , v_popularity=19.6977156036
smoked salmon : f_popularity=25.6666666667 , v_popularity=39.1152144312
cherry blossom : f_popularity=8.08988764045 , v_popularity=40.2523291252
braised pork : f_popularity=124.638447972 , v_popularity=212.219815286
mahi mahi : f_popularity=23.0 , v_popularity=32.5269119346
bread crumbs : f_popularity=9.6 , v_popularity=14.4222051019
panna cotta : f_popularity=15.12 , v_popularity=28.9698118737
the refried beans : f_popularity=20.3298969072 , v_popularity=36.9628191566
mashed potato : f_popularity=9.69230769231 , v_popularity=13.8293166859
water feature : f_popularity=9.08108108108 , v_popularity=13.2003787824
chicken breasts : f_popularity=22.4888888889 , v_popularity=31.8276609257
pork chop : f_popularity=357.10301769 , v_popularity=761.80378051
green salad : f_popularity=35.4366197183 , v_popularity=50.2493781056
chili pepper : f_popularity=132.347169811 , v_popularity=187.491333133
salisbury steak : f_popularity=6.85714285714 , v_popularity=10.0
cauliflower : f_popularity=22.2857142857 , v_popularity=32.5
lamb chops : f_popularity=49.8009950249 , v_popularity=71.3810198862
big night : f_popularity=13.9285714286 , v_popularity=19.8494332413
rice noodles : f_popularity=852.816981621 , v_popularity=1443.42517991
peanut butter : f_popularity=147.552631579 , v_popularity=218.082553177
arugula : f_popularity=16.1298701299 , v_popularity=29.3470611817
sweet pea : f_popularity=3.42857142857 , v_popularity=5.0
white pepper : f_popularity=69.8714285714 , v_popularity=99.0858213873
iceberg lettuce : f_popularity=83.7134328358 , v_popularity=118.466239917
kung pao chicken : f_popularity=1479.32165464 , v_popularity=2551.80254918
white rice : f_popularity=1441.72939495 , v_popularity=2318.13874693
wonton soup : f_popularity=1452.04499567 , v_popularity=2643.0756705
dandan noodles : f_popularity=42.6279069767 , v_popularity=61.0737259384
sausages : f_popularity=27.4181818182 , v_popularity=38.9486841883
steak and chicken : f_popularity=13.5272727273 , v_popularity=19.6022957839
roti canai : f_popularity=35.3871733967 , v_popularity=191.992838408
ricotta : f_popularity=6.51851851852 , v_popularity=9.70824391947
mixed drink : f_popularity=16.2153846154 , v_popularity=23.0054341407
veggie burger : f_popularity=1.5 , v_popularity=3.16227766017
tea egg : f_popularity=11.2444444444 , v_popularity=15.9138304628
malaysian cuisine : f_popularity=37.9166666667 , v_popularity=74.6726188104
peanut sauce : f_popularity=287.087878788 , v_popularity=496.106843331
squid : f_popularity=603.746172167 , v_popularity=1127.9296299
gobi manchurian : f_popularity=3.23076923077 , v_popularity=4.60977222865
stained glass : f_popularity=5.1 , v_popularity=17.2626765016
broccoli : f_popularity=2527.14366369 , v_popularity=5136.80116902
del taco : f_popularity=19.4871794872 , v_popularity=27.5862284483
blood orange : f_popularity=16.9541284404 , v_popularity=45.2354949127
char siu : f_popularity=245.91087344 , v_popularity=420.434299267
pork chops : f_popularity=363.154168607 , v_popularity=873.244667891
green onion : f_popularity=506.38225256 , v_popularity=883.234963076
rocket : f_popularity=24.0 , v_popularity=40.249223595
frank sinatra : f_popularity=4.0 , v_popularity=5.65685424949
tom yum : f_popularity=248.346883469 , v_popularity=601.135592026
grilled octopus : f_popularity=16.1971830986 , v_popularity=26.1772802254
ada : f_popularity=3.42857142857 , v_popularity=5.0
duck sauce : f_popularity=207.569892473 , v_popularity=297.109828178
italian american : f_popularity=3.0 , v_popularity=4.24264068712
mandalay bay : f_popularity=62.0967741935 , v_popularity=277.218325513
romaine lettuce : f_popularity=22.5 , v_popularity=34.9857113691
more frequently : f_popularity=35.8620689655 , v_popularity=51.5388203202
onion : f_popularity=1119.63747376 , v_popularity=1983.18184996
diners drive ins and dives : f_popularity=20.8924302789 , v_popularity=114.578575659
roti : f_popularity=95.180832858 , v_popularity=827.542294992
fettuccine : f_popularity=15.417721519 , v_popularity=30.8423410266
tomato soup : f_popularity=14.9333333333 , v_popularity=21.2602916255
birthday girl : f_popularity=15.2131147541 , v_popularity=21.5928228817
tap water : f_popularity=96.4974093264 , v_popularity=136.47344064
truffle : f_popularity=55.674796748 , v_popularity=216.379296607
short rib tacos : f_popularity=3.0 , v_popularity=4.24264068712
profiterole : f_popularity=3.23076923077 , v_popularity=4.60977222865
sesame seed : f_popularity=60.325203252 , v_popularity=87.800911157
glutinous rice : f_popularity=55.4592274678 , v_popularity=84.3282277769
pasta : f_popularity=183.915789474 , v_popularity=272.968862693
beef : f_popularity=4740.17460895 , v_popularity=22245.0089009
small tacos : f_popularity=5.05263157895 , v_popularity=16.2788205961
xo sauce : f_popularity=228.227194492 , v_popularity=452.726186563
pork ribs : f_popularity=238.979508197 , v_popularity=348.600057372
neo tokyo : f_popularity=7.77142857143 , v_popularity=136.058810814
cantonese restaurant : f_popularity=70.1423487544 , v_popularity=99.4245945428
foie gras : f_popularity=39.1642651297 , v_popularity=152.667121542
mushrooms : f_popularity=1296.73770492 , v_popularity=2312.45540498
ciabatta : f_popularity=3.0 , v_popularity=4.24264068712
chinese american : f_popularity=330.474474474 , v_popularity=472.715559295
punch card : f_popularity=12.6274509804 , v_popularity=18.117670932
gazpacho : f_popularity=5.14285714286 , v_popularity=18.2482875909
porcini mushrooms : f_popularity=3.75 , v_popularity=5.83095189485
health food : f_popularity=21.1058823529 , v_popularity=30.1537725666
fish fry : f_popularity=8.47058823529 , v_popularity=12.0415945788
salad dressing : f_popularity=73.4662379421 , v_popularity=112.943569981
strawberries : f_popularity=126.495726496 , v_popularity=220.354827494
bread pudding : f_popularity=8.4 , v_popularity=12.6194294641
chocolate glaze : f_popularity=11.3333333333 , v_popularity=19.0065778087
chicken fajitas : f_popularity=5.65217391304 , v_popularity=8.20060973343
fast casual : f_popularity=66.2189781022 , v_popularity=98.4733466477
debit card : f_popularity=56.563876652 , v_popularity=80.388121013
sauvignon blanc : f_popularity=8.88888888889 , v_popularity=12.8062484749
penne : f_popularity=11.9298245614 , v_popularity=21.7313138121
huevos rancheros : f_popularity=3.75 , v_popularity=5.83095189485
zongzi : f_popularity=3.73333333333 , v_popularity=5.31507290637
love happy : f_popularity=14.7333333333 , v_popularity=21.400934559
capers : f_popularity=3.07692307692 , v_popularity=4.71699056603
fruit salad : f_popularity=37.385620915 , v_popularity=54.7014625033
bay area : f_popularity=473.090136857 , v_popularity=788.226648877
gelato : f_popularity=34.6043165468 , v_popularity=49.246827309
kanji : f_popularity=3.42857142857 , v_popularity=5.0
black beans : f_popularity=208.317073171 , v_popularity=956.185128519
